Stop_ID,Stop_name,Lat,Lon,routes
51,Temple Street,53.35781939,-6.263271207,"41C, 13, 41, 44, 11, 16, 1, 40, 41A, 41B, 33, 122, 40B, 40D"
52,St. Joseph's Parade,53.35664238,-6.264535983,"41C, 13, 41, 44, 11, 16, 1, 40, 41A, 41B, 33, 122, 40B, 40D"
53,Dorset Street,53.35998798,-6.262822417,122
54,Mater Hospital,53.36014451,-6.265550569,122
55,Mater Hospital,53.36041139,-6.268454564,122
56,St. Peter's Road,53.36076081,-6.276448736,"122, 120"
57,St. Peter's Road,53.36076298,-6.276598899,"38, 38A, 38B"
58,Charleville Road,53.36093705,-6.281189548,"38, 38A, 38B, 122, 120"
59,Annamoe Terrace,53.36107981,-6.284864955,"38, 38A, 38B, 122"
60,Dowth Avenue,53.36123258,-6.289246167,"38, 38A, 38B, 122"
63,Carnlough Road,53.36679222,-6.29273509,122
64,Dunmanus Road,53.36707938,-6.295218122,122
65,Dingle Road,53.36724545,-6.298036616,122
66,Broombridge Road,53.36729467,-6.300859781,122
68,Ratoath Road,53.36906831,-6.304230572,120
69,Ventry Park,53.37138337,-6.303327054,120
71,Ventry Drive,53.37024849,-6.304424142,120
72,Ratoath Road,53.36896052,-6.304234854,120
73,Broombridge Road,53.36739134,-6.30070566,122
74,Carnlough Road,53.36716366,-6.295455193,122
75,Bannow Road,53.36653803,-6.29130266,120
77,Quarry Road,53.36130897,-6.289558636,"38, 38A, 38B, 122"
78,Dowth Avenue,53.36112995,-6.283976458,"38, 38A, 38B, 122"
79,Charleville Road,53.36101205,-6.280780851,"38, 38A, 38B, 122, 120"
80,St. Peter's Road,53.36085398,-6.276054324,"38, 38A, 38B, 122, 120"
81,Phibsborough Road,53.36087553,-6.271951611,46A
82,Royal Canal Bank,53.36079055,-6.271669574,"38, 38A, 38B, 122, 120"
83,Mater Hospital,53.36027027,-6.265545461,122
84,Leo Street,53.36015358,-6.263702146,122
85,Homefarm Road,53.37390318,-6.251855554,"41, 13, 41C, 44, 16, 1, 41B, 33"
86,Garda Station,53.37605,-6.251151369,13
87,Clare Road,53.37675151,-6.254865268,13
88,Walnut Rise,53.37728682,-6.257669185,13
89,Lambay Road,53.37802668,-6.261562105,13
90,St. Pappin's Road,53.38638531,-6.265250648,"13, 9, 4"
91,Glasnevin Avenue,53.38842767,-6.265393116,"13, 9, 4"
92,Shanliss Road,53.38983712,-6.264659214,"13, 4, 17A"
93,Shanliss Road,53.39229249,-6.264153341,"13, 4, 17A"
94,Silloge Road,53.39603476,-6.26437696,"13, 4, 17A"
100,Wellington Cottages,53.30308267,-6.322361403,"150, 54A"
102,Silloge Road,53.39776387,-6.267705193,"13, 220"
104,Belclare Crescent,53.39969927,-6.276604703,"13, 220"
105,Poppintree Park Lane,53.40292828,-6.281753183,"13, 220"
107,Crannogue Road,53.40203541,-6.279668587,"13, 220"
108,Belclare Crescent,53.3997996,-6.27670592,13
110,Balcurris Gardens,53.39793973,-6.268675528,"13, 220"
112,Silloge Road,53.39614564,-6.263966435,"13, 4, 17A"
113,Nursing Home,53.39226774,-6.263688227,"13, 4, 17A"
114,Shanliss Road,53.39133332,-6.263711229,"13, 4, 17A"
115,Glasnevin Avenue,53.38793714,-6.265037196,"13, 9, 4"
116,Griffith Lawns,53.37769324,-6.259651718,13
117,Courtlands,53.37736569,-6.257530686,13
118,Sherkin Gardens,53.37664256,-6.253562055,13
119,Griffith Avenue,53.37508335,-6.250815227,"41C, 13, 41, 44, 16, 1, 41A, 41B, 33"
124,Londale Way,53.39491924,-6.260602937,220
126,Nursing Home,53.39909547,-6.264086961,"4, 17A"
127,St. Pappin's Road,53.39910731,-6.263665399,"4, 17A"
128,Ballymun Road,53.38931475,-6.265823133,17A
129,Glasnevin Drive,53.3898901,-6.27140791,"9, 17A"
130,Glasnevin Drive,53.3900918,-6.274166243,"9, 17A"
131,Beneavin Drive,53.39038589,-6.278349237,"9, 17A"
132,Grove Park Road,53.39047475,-6.282645798,17A
133,Sycamore Road,53.39078773,-6.286286843,"83, 83A"
134,Willow Park Crescent,53.39309438,-6.286058838,"83, 83A"
136,Sycamore Road,53.3943802,-6.289856597,"9, 220"
137,Clancy Avenue,53.3923165,-6.292615767,"9, 220"
138,St. Canice's School,53.38992169,-6.292335743,"9, 83, 83A, 17A"
139,Grove Park Road,53.39060125,-6.286444691,17A
140,Beneavin Park,53.3906503,-6.282353055,17A
141,Willow Park Road,53.39044487,-6.278076218,"9, 17A"
142,Glasnevin Park,53.39019061,-6.274162245,"9, 17A"
143,Willow Park Avenue,53.38986773,-6.269243734,"9, 17A"
146,Na Fianna,53.37516523,-6.26504541,"9, 4"
147,Dean Swift Bridge,53.37248023,-6.265830862,"9, 4"
148,Botanic Road,53.37066118,-6.268068872,"9, 4"
149,St. Mobhi Drive,53.37313837,-6.265969446,"9, 4"
150,Home Farm Road,53.37565885,-6.264995283,"9, 4"
151,Botanic Gardens,53.37195526,-6.269293828,"83, 83A"
153,Met Office,53.37573255,-6.270072533,"83, 83A"
154,St. Brigid's School,53.37725878,-6.275542015,"83, 83A"
155,Cremore Lawn,53.37787403,-6.279560505,"83, 83A"
156,Northland Grove,53.37862339,-6.281664739,"83, 83A"
157,Griffith Road,53.38041141,-6.281622802,83A
158,Glasilawn Road,53.38134872,-6.283674539,83A
159,Griffith Parade,53.3827835,-6.282820088,83A
164,Beneavin Drive,53.38843015,-6.280472897,9
165,Beneavin Park,53.38902568,-6.283756584,9
166,Beneavin School,53.38958338,-6.286290122,9
167,Ballygall Road East,53.39018639,-6.286972559,9
168,Beneavin Park,53.38925077,-6.28440907,9
169,Ballygall Road East,53.38843372,-6.280096884,9
173,Griffith Parade,53.3821214,-6.280531725,83A
174,Glasilawn Road,53.38068014,-6.280935539,83A
175,Old Finglas Road,53.37842404,-6.281552516,"83, 83A"
176,Cremore Lawns,53.37803183,-6.279283584,"83, 83A"
177,Griffith Avenue,53.38046816,-6.276209012,83
178,West Park Drive,53.38188106,-6.276332322,83
179,Griffith Avenue,53.38030321,-6.275990197,83
181,Cremore Avenue,53.37714963,-6.274208685,"83, 83A"
182,Met Office,53.37564887,-6.269880531,"83, 83A"
183,Botanic Gardens,53.37231571,-6.268738165,"83, 83A"
184,Cliftonville Road,53.36969448,-6.268964699,"9, 4, 83, 83A"
185,Marguerite Road,53.36809195,-6.270021503,"9, 4, 83, 83A"
186,Prospect Avenue,53.36534614,-6.271575323,"9, 4, 40, 83, 83A, 140, 40B, 40D"
187,Royse Road,53.36272505,-6.272432712,"9, 4, 83, 83A, 140"
188,North Circular Road,53.3601117,-6.272583513,"9, 4, 83, 83A, 140"
189,Broadstone,53.35716744,-6.273468816,"9, 4, 83, 83A, 140"
190,Broadstone Depot,53.35511675,-6.273371437,"9, 4, 140"
191,Youth Club,53.35506787,-6.269377287,"9, 4, 140"
192,Blessington Street,53.35644191,-6.268059634,"38, 38A, 38B, 46A, 120"
193,Clune Road,53.39118711,-6.294089367,"9, 220"
194,Youth Club,53.35504043,-6.269964297,"9, 4, 140"
195,Constitution Hill,53.35500171,-6.273496272,"9, 4, 83, 83A, 140"
196,Broadstone,53.3568747,-6.273736052,"9, 4, 83, 83A, 140"
197,Monck Place,53.35895263,-6.273231374,"9, 4, 83, 83A, 140"
198,Royse Road,53.36162538,-6.27283781,"9, 4, 83, 83A, 140"
199,Munster Street,53.36361283,-6.27229161,"9, 4, 83, 83A, 140"
200,Prospect Avenue,53.36742269,-6.271596444,"9, 4, 83, 83A"
201,Cliftonville Road,53.3682819,-6.270103972,"9, 4, 83, 83A"
202,Fairfield Road,53.3700711,-6.268904342,"83, 83A"
203,Griffith Avenue,53.37639169,-6.24993492,"41, 41C, 44, 16, 1, 41B, 33"
204,Highfield Hospital,53.37958792,-6.246632147,"41, 41C, 44, 16, 1, 41B, 33"
205,Grace Park Heights,53.38141148,-6.245339593,"41, 41C, 44, 16, 1, 41B, 33"
206,Iveragh Road,53.3835279,-6.247462422,44
207,Glentow Road,53.38482141,-6.249859758,44
208,Glentow Road,53.38662654,-6.247921465,44
209,Glentow,53.38733333,-6.245862786,44
210,Crestfield Road,53.3875312,-6.24832031,44
211,St. Aidan's School,53.38426289,-6.249161068,44
212,Larkhill Road,53.38317767,-6.246259136,44
213,Grace Park Heights,53.38140485,-6.244888894,"41C, 41, 44, 16, 1, 41A, 41B, 33"
214,Highfield Hospital,53.37930945,-6.246643589,"41C, 41, 44, 16, 1, 41A, 41B, 33"
215,Grace Park Heights,53.38186308,-6.242434776,16
216,Yellow Road,53.3823306,-6.238176296,"16, 14"
217,Grace Park Court,53.3843234,-6.236786098,"16, 14"
218,Beaumont Road,53.38557047,-6.233592482,"104, 16"
219,Beaumont Road,53.38786134,-6.238383889,"104, 16"
220,Shantalla Road,53.38793134,-6.244966185,"41, 41C, 104, 16, 1, 41B, 33"
221,Swords Road,53.38972086,-6.246862182,"104, 16, 1"
222,Shanowen Road,53.38993602,-6.249274033,"104, 1"
223,Shanliss Avenue,53.39108709,-6.251767832,"104, 1"
224,Shanliss Road,53.39080833,-6.254215035,"104, 1"
225,The Thatch Road,53.39066624,-6.257408398,"104, 1"
226,Shanard Avenue,53.39114035,-6.262185438,"104, 1"
227,Shanliss Drive,53.39114337,-6.251314452,"104, 1"
228,Oldtown Avenue,53.39185154,-6.259795808,"104, 1"
229,Oldtown Road,53.3913993,-6.256521406,"104, 1"
230,Shanowen Road,53.3898878,-6.249050482,"104, 1"
231,Shantalla Road,53.38923964,-6.245919712,"41C, 41, 104, 16, 1, 41A, 41B, 33"
232,Shantalla Avenue,53.38801947,-6.236918992,"104, 16"
233,Shantalla Road Junction Beaumont Road,53.38582109,-6.233521969,"104, 16"
234,Beaumont Grove,53.38495026,-6.234805818,"16, 14, 14C"
235,Collinswood,53.38329639,-6.237234433,"16, 14, 14C"
236,Yellow Road,53.38202452,-6.238143837,"16, 14, 14C"
237,Swords Road,53.38203171,-6.243510176,16
242,Coolgreena Road,53.38564569,-6.231995775,"104, 14"
243,Beaumont Woods,53.38577984,-6.22952465,"104, 14"
244,Skelly's Lane Opposite Elmount Rise,53.38498901,-6.223483865,"104, 14"
245,Whitethorn Crescent,53.38447202,-6.219551582,"104, 14"
246,Recreational Centre,53.38515025,-6.216215853,14
247,Kilmore Road,53.38696695,-6.214486107,27B
248,Kilmore Road,53.38556434,-6.214454607,"14, 14C"
249,Castlekevin Road,53.38493355,-6.216149745,"14, 14C"
250,Skellys Lane Whitethorn Crescent,53.38441923,-6.220230292,"104, 14, 14C"
251,Whitethorn Crescent,53.38485047,-6.223234062,"104, 14, 14C"
252,Coolatree Road,53.38556779,-6.227954893,"14, 14C"
253,Main entrance,53.38994573,-6.224375021,"104, 27B, 17A"
254,Main entrance,53.39026507,-6.224091087,27B
255,Beaumont Road Opposite Coolgreena Road,53.38558468,-6.23151722,"104, 14, 14C"
260,Garden of Remembrance,53.35428479,-6.263114478,4
261,Garden of Remembrance,53.35404708,-6.262838713,"13, 11, 40"
262,Garden of Remembrance,53.35394652,-6.262722621,16
263,Garden of Remembrance,53.35374519,-6.262475427,"9, 122, 120"
264,Garden of Remembrance,53.35352588,-6.262228965,"46A, 140"
265,Garden of Remembrance,53.35336113,-6.262025354,"44, 1, 38, 38A, 38B"
270,Cathedral Street,53.35061463,-6.26043967,"13, 16, 40"
271,Abbey Street,53.34858826,-6.259545833,"747, 11, 1, 122"
272,Cathal Brugha St.,53.35145572,-6.260795984,"44, 123"
273,O'Connell Bridge,53.347238,-6.258789745,"4, 7, 120"
274,Henry Street,53.35034843,-6.260675831,"46A, 140"
276,Rathbourne Avenue,53.3774022,-6.331796583,120
277,Citizens Information,53.35081356,-6.260521698,"41C, 41, 9, 41A, 41B, 33"
278,Cathal Brugha Street,53.35135252,-6.261115643,"44, 11, 16, 16C, 1"
279,Henry Street,53.35013131,-6.260579522,"40, 7, 7D"
281,Dublin Bus,53.35091828,-6.260923017,"13, 9, 4"
284,Rathbourne Way,53.3772822,-6.328359239,120
288,Irish Life Mall,53.3491331,-6.255618183,"41C, 41, 41A, 41B"
289,Irish Life Mall,53.34898983,-6.256269933,"31A, 32, 31"
291,Irish Life Mall,53.34892674,-6.256873344,29A
292,Irish Life Mall,53.34919093,-6.255270338,33
293,Irish Life Mall,53.34885773,-6.257071431,130
296,Abbey Theatre,53.34918156,-6.257704122,"29A, 31, 31A, 32, 43, 42, 27B, 27A, 130"
297,Quay Wall (Stop EA),53.34811632,-6.256771226,"151, 14, 14C"
298,Quay Wall (Stop EA),53.3481735,-6.256378356,"27, 27A"
299,Quay Wall (Stop EA),53.34822213,-6.256015875,"15, 42"
300,Quay Wall (Stop EA),53.34827229,-6.255758476,"43, 27B"
307,Thomas Road,53.33457687,-6.280072457,150
308,Thomas Road,53.33677097,-6.279518649,150
309,Chamber Street,53.33784968,-6.27890458,150
310,Abbey Street,53.34867479,-6.259932849,122
312,Parliament Street,53.34546727,-6.266191509,"25X, 25A, 25B, 25, 67, 66, 26, 66A"
313,Lower Liffey Street,53.3468977,-6.261957852,"39, 39A, 151, 70, 145, 37"
315,Lower Liffey Street,53.34692596,-6.262046823,"25A, 25X, 83, 83A, 25B, 25, 67, 26, 66, 66A"
317,O'Connell Bridge,53.34624441,-6.259070557,"67, 66, 26, 66A"
318,O'Connell Bridge,53.34629853,-6.259083372,25X
319,O'Connell Bridge,53.34596879,-6.259277046,"13, 9, 44, 1, 40, 83, 83A, 140"
320,O'Connell Bridge,53.3455374,-6.259279603,"11, 16, 16C, 7D, 46A"
322,Gulliver's Retail Park,53.40425499,-6.265350845,"13, 4"
323,Silloge Golf Club,53.41292066,-6.265434432,"13, 4"
324,Bus Garage,53.41772246,-6.278629133,"13, 4, 83, 83A, 27B"
325,Westmoreland Street,53.34673298,-6.259906796,145
326,Bedford Row,53.34657939,-6.260468794,"79A, 79"
327,Silloge Golf Club,53.41318883,-6.265333257,"13, 4"
328,Bedford Row,53.34642623,-6.261060811,"39, 39A"
329,Bedford Row,53.34630944,-6.261681383,"70, 37"
332,Bus Garage,53.41735244,-6.27852372,"13, 4, 83, 83A, 27B"
333,Ashfield House,53.34666507,-6.258332451,41X
334,D'Olier Street Junction Burgh Quay (Stop,53.34655465,-6.258156712,"145, 46A, 140"
335,Ashfield House,53.34636184,-6.257879193,"13, 9, 123, 40, 122"
336,D'Olier Street Junction Burgh Quay (Stop,53.34625142,-6.257703456,"25X, 44, 16, 61, 14, 14C, 83, 83A"
337,Westmoreland Street,53.3458989,-6.258183446,"150, 47"
340,D'Olier Street,53.34596789,-6.256137932,"1, 56A, 77A, 15B, 15A"
341,Hawkins Street,53.34601895,-6.256556405,61
342,Garda Station,53.34548459,-6.256893624,"54A, 49"
346,Garda Station,53.34558909,-6.256664064,"67, 66, 26, 66A"
347,D'Olier Street,53.34547824,-6.257689926,"25A, 25B, 25, 67, 26, 66, 66A"
348,D'Olier Street,53.34520241,-6.258497213,"15, 15B, 15A"
349,Trinity College,53.34529684,-6.258192971,"39, 39A, 38, 70, 38A, 38B, 37"
350,Hawkins Street,53.34564991,-6.249767514,"44, 1, 61, 47, 56A, 77A"
351,Pearse Street Junction Lower Erne Street,53.34339132,-6.24530928,"1, 47, 56A, 77A"
352,Pearse Square,53.3429714,-6.242427889,"1, 47, 56A, 77A"
353,Garda Station,53.3426154,-6.239619013,"1, 47, 56A, 77A"
354,Barrow Street,53.3422172,-6.236391403,"1, 47, 56A, 77A"
355,Bus Garage,53.34179916,-6.233044524,"1, 47"
356,St. Patrick's Villas,53.34190302,-6.226717443,"1, 47"
357,Gospel Hall,53.33917082,-6.223106467,"1, 47"
359,Pine Road,53.34071812,-6.214166428,18
371,Gospel Hall,53.33859504,-6.223070338,"1, 47"
372,Star Of The Sea Church,53.33547939,-6.219671053,"1, 47"
373,Farney Park,53.33425759,-6.217905028,"1, 47"
374,Lea Road,53.33317387,-6.216358573,"1, 47"
375,Marine Drive,53.33399826,-6.21438714,"1, 18, 47"
376,Lea Road,53.33071275,-6.20926927,"1, 47"
377,Gilford Road,53.32874667,-6.208826138,"1, 47"
378,Sandymount Tower,53.32564086,-6.207304842,"1, 47"
380,Strand Road,53.32468072,-6.209206647,"1, 47"
381,Strand Road,53.32419666,-6.212289434,"1, 47"
382,Seamount House,53.32509743,-6.20762788,"1, 47"
383,Gilford Road,53.32860453,-6.208937191,"1, 47"
384,Lea Road,53.33160723,-6.210177739,"1, 47"
385,Strand Road,53.33235102,-6.211227688,"1, 18, 47"
387,Lea Road,53.33254487,-6.215769195,"1, 47"
388,Farney Park,53.33451784,-6.218479798,"1, 47"
389,Star Of The Sea Church,53.33529839,-6.219588495,"1, 47"
390,Church Avenue,53.33756771,-6.222287118,"1, 47"
391,Bath Street,53.34008227,-6.223954622,"1, 47"
392,St. Patrick's Villas,53.34174284,-6.227429958,"1, 47"
393,Church Avenue,53.33687627,-6.222330895,"1, 47"
395,Barrow Street,53.34196024,-6.235425806,"1, 47, 56A, 77A"
396,Grand Canal Quay,53.34246403,-6.239715361,"1, 47, 56A, 77A"
397,Garda Station,53.34277724,-6.242060406,"1, 47, 56A, 77A"
398,Erne Street,53.34329582,-6.245538486,"1, 47, 56A, 77A"
399,Westland Row,53.3438482,-6.248264308,"1, 47, 56A, 77A, 15B, 15A"
400,Hawkins Street,53.34475927,-6.252777849,"44, 4, 1, 61, 7, 47, 67, 56A, 77A, 66, 26, 66A, 15B, 15A"
401,Lwr. Grafton Street Trinity College Main,53.34408767,-6.259098358,"11, 41X"
402,Provost's House,53.34389969,-6.259151074,"4, 7, 120"
403,South Frederick Street,53.34271329,-6.256691284,"15, 14, 140, 15B, 15A, 41X"
404,South Frederick Street,53.34271811,-6.256405732,"39, 39A, 11, 38, 70, 38A, 38B, 37"
405,South Frederick Street,53.34248147,-6.255589363,"4, 7, 120"
406,South Frederick Street,53.34261622,-6.256199628,"25A, 25X, 145, 46A, 25B, 25, 67, 26, 66, 66A"
407,Custom House,53.34837937,-6.253861494,"151, 15B, 15A"
408,Lincoln Place,53.34097078,-6.25001924,"4, 7, 120"
409,Merrion Street,53.34013607,-6.247650569,"4, 7, 120"
410,Grattan Street,53.33881323,-6.243875382,"4, 7, 120"
411,Warrington Place,53.3381169,-6.241756545,"4, 7, 120"
412,Haddington Road,53.33525529,-6.237264312,"4, 7, 120"
413,Lansdowne Park,53.33409264,-6.236441348,"4, 7, 120"
414,Northumberland Road,53.33151902,-6.23441542,"4, 18, 7, 120"
415,Northumberland Road,53.33033759,-6.232932744,"4, 18, 7, 120"
416,Simmonscourt Road,53.32863071,-6.229354937,"4, 18, 7"
417,Serpentine Avenue,53.32769038,-6.225955789,"4, 18, 7"
418,British Embassy,53.3257106,-6.223380667,"4, 7"
419,Shrewsbury Park,53.3239859,-6.220434874,"4, 7"
420,Merlyn Road,53.32190159,-6.217489294,"4, 7"
421,Ailesbury Road,53.31999597,-6.214476494,"4, 7"
422,Merrion Centre,53.31806397,-6.21030928,"4, 7"
423,Herbert Avenue,53.31714828,-6.207390658,"4, 7"
424,Merrion Gates,53.31539415,-6.203711866,"4, 7"
425,Bellevue Avenue,53.31249301,-6.201462396,"4, 7"
426,Nature Reserve,53.31096735,-6.19983067,"4, 7"
427,Booterstown Hall,53.30826987,-6.195006951,"4, 7"
428,Blackrock College,53.3069015,-6.190712857,"4, 7"
429,Blackrock College,53.30470787,-6.187129261,"4, 7"
430,Sydney Avenue,53.30148015,-6.185885597,17
431,Waltham Terrace,53.30065671,-6.189071367,17
432,Hyde Park Avenue,53.29959189,-6.192942376,17
433,Grove Avenue,53.29845223,-6.197221432,17
434,Woodlands Park,53.29785676,-6.199451971,17
435,Mount Merrion Avenue,53.29598904,-6.203746226,"145, 46A, 47, 116"
441,Mount Anville School,53.28895001,-6.215036534,11
442,Dale Drive,53.28921005,-6.211995686,11
443,South Avenue,53.28912957,-6.209029044,11
444,Kilmacud Park,53.28805585,-6.207558995,"75, 11, 47, 116"
445,Kilmacud House,53.28568853,-6.208528028,"75, 11, 47, 116"
447,Blackthorn Avenue,53.28020896,-6.21054188,"11, 47"
448,Arena Road,53.27490993,-6.206624628,"47, 116"
449,Arena Road,53.27619819,-6.217007545,"114, 11"
450,Heather Road,53.27509382,-6.213484684,"114, 11"
451,Arkle Road,53.2782969,-6.207712502,"11, 47"
453,Kilmacud Park,53.28858605,-6.207551797,"75, 11, 47"
454,South Avenue,53.2891159,-6.209914616,11
461,Trees Road,53.29479928,-6.203526119,"7D, 145, 46A, 47"
462,Mount Merrion Avenue,53.29696024,-6.20318037,17
464,Southhill Avenue,53.29820202,-6.198507246,17
465,Grove Avenue,53.29884933,-6.19613946,17
466,Glenvar Park,53.29994722,-6.192072153,17
467,Waltham Terrace,53.30095925,-6.188278345,17
468,Sydney Avenue,53.30170434,-6.185260909,17
469,Mount Merrion Avenue,53.30284527,-6.184042142,"4, 7"
470,Blackrock Clinic,53.30561641,-6.188951492,"4, 7"
471,Blackrock College,53.30687058,-6.191044302,"4, 7"
472,Booterstown Hall,53.30788181,-6.19490327,"4, 7"
473,Grotto Avenue,53.30924035,-6.197367142,"4, 7"
475,Bellevue Avenue,53.31270616,-6.201888675,"4, 7"
476,Merrion Gates,53.31574254,-6.2047629,"4, 7"
477,Estate Avenue,53.31686305,-6.20695232,"4, 7"
478,Merrion Centre,53.31810532,-6.211268201,"4, 7"
479,Merrion Centre,53.31913476,-6.213386661,"4, 7"
480,Ailesbury Road,53.32084077,-6.216272578,"4, 7"
481,Merlyn Road,53.32233543,-6.218251815,"4, 7"
482,Shrewsbury Park,53.32468354,-6.222012172,"4, 7"
483,Simmonscourt Road,53.32592592,-6.223957223,"4, 7"
485,RDS,53.32826049,-6.228634599,"4, 7"
486,Merrion Centre,53.32831862,-6.228917451,18
487,Northumberland Road,53.33080073,-6.233859519,"4, 18, 7"
488,Haddington Road,53.33309833,-6.236061941,"4, 7"
489,St. Mary's Road South,53.33494178,-6.237337306,"4, 7"
490,Haddington Road,53.33655632,-6.238937561,"4, 7"
491,Warrington Place,53.33780463,-6.241303865,"4, 7"
492,Merrion Square,53.33858446,-6.243599454,"4, 7"
493,Merrion Street,53.3398532,-6.247361814,"4, 7, 67, 66, 26, 66A"
494,Lincoln Place,53.3414174,-6.251667978,"4, 7, 67, 66, 26, 66A"
495,Pearse Station,53.34358212,-6.249732063,"44, 4, 61, 7, 67, 66, 26, 66A"
496,Bus Aras,53.34946007,-6.252165,"53, 27, 14, 29A, 31A, 32, 31, 27A, 130"
497,Connolly Station,53.35052608,-6.250694343,"53, 27, 15, 14, 29A, 31A, 32, 31, 43, 42, 27B, 27A, 130"
499,Portland Row,53.35749547,-6.2491018,123
500,Foster Terrace,53.35902665,-6.246259493,123
501,Spring Garden Street,53.36069626,-6.243666712,123
509,Spring Garden Street,53.36060113,-6.243310024,123
510,Charleville Avenue,53.35916353,-6.245788112,123
511,Portland Row,53.35750639,-6.248620587,123
512,Mountview Court,53.35593815,-6.252005064,123
513,Rutland Street,53.35525732,-6.25400096,123
515,Portland Row,53.35350792,-6.248093506,"53, 27, 15, 14, 29A, 31A, 32, 31, 43, 42, 27B, 27A, 130"
516,Newcomen Bridge,53.35568326,-6.245660642,"53, 27, 15, 14, 29A, 31A, 32, 31, 43, 42, 27B, 27A, 130"
518,Waterloo Avenue,53.35893,-6.240914757,53
519,Waterloo Avenue,53.36030305,-6.239551026,"27, 15, 14, 29A, 31A, 32, 31, 43, 42, 27B, 27A, 130"
521,Fairview Hall,53.36162829,-6.237993848,"27, 15, 14, 29A, 31A, 32, 31, 43, 42, 27B, 27A, 130"
522,Footbridge,53.36326987,-6.235341633,"27, 15, 14, 29A, 31A, 32, 31, 43, 42, 27B, 27A, 130"
523,Marino College,53.36428412,-6.231603229,"27, 15, 14, 29A, 31A, 32, 31, 43, 42, 27B, 27A, 130"
525,Crescent Place,53.36495167,-6.226316267,"29A, 31A, 32, 31"
526,Copeland Grove,53.36686037,-6.221097635,"29A, 31A, 32, 31"
527,Ashbrook,53.36801067,-6.212664238,"29A, 31A, 32, 31"
528,Castle Grove,53.36925487,-6.209922103,"29A, 31A, 32, 31"
529,Collins Avenue,53.37059403,-6.207521476,"29A, 31A, 32, 31"
530,Castle Avenue,53.37122453,-6.20402333,"104, 29A, 31A, 32, 31"
531,Demesne,53.37321702,-6.201444579,"29A, 31A, 32, 31"
