Route,Stop_ID,Stop_name,Lat,Lon,Stop_sequence,Direction,routes
40,49,North Circular Road,53.35995954,-6.260870353,31,1,"41C, 13, 41, 44, 11, 16, 1, 40, 41A, 41B, 33, 40B, 40D"
41B,49,North Circular Road,53.35995954,-6.260870353,42,1,"41C, 13, 41, 44, 11, 16, 1, 40, 41A, 41B, 33, 40B, 40D"
40B,49,North Circular Road,53.35995954,-6.260870353,36,1,"41C, 13, 41, 44, 11, 16, 1, 40, 41A, 41B, 33, 40B, 40D"
40D,49,North Circular Road,53.35995954,-6.260870353,40,1,"41C, 13, 41, 44, 11, 16, 1, 40, 41A, 41B, 33, 40B, 40D"
41,50,Gardiner Street,53.35856872,-6.262264155,49,1,"41C, 13, 41, 44, 11, 16, 1, 41A, 41B, 33, 122, 40B, 40D"
44,50,Gardiner Street,53.35856872,-6.262264155,16,1,"41C, 13, 41, 44, 11, 16, 1, 41A, 41B, 33, 122, 40B, 40D"
11,50,Gardiner Street,53.35856872,-6.262264155,17,1,"41C, 13, 41, 44, 11, 16, 1, 41A, 41B, 33, 122, 40B, 40D"
1,50,Gardiner Street,53.35856872,-6.262264155,19,1,"41C, 13, 41, 44, 11, 16, 1, 41A, 41B, 33, 122, 40B, 40D"
41B,50,Gardiner Street,53.35856872,-6.262264155,43,1,"41C, 13, 41, 44, 11, 16, 1, 41A, 41B, 33, 122, 40B, 40D"
40B,50,Gardiner Street,53.35856872,-6.262264155,37,1,"41C, 13, 41, 44, 11, 16, 1, 41A, 41B, 33, 122, 40B, 40D"
40D,50,Gardiner Street,53.35856872,-6.262264155,41,1,"41C, 13, 41, 44, 11, 16, 1, 41A, 41B, 33, 122, 40B, 40D"
41,51,Temple Street,53.35781939,-6.263271207,50,1,"41C, 13, 41, 44, 11, 16, 1, 40, 41A, 41B, 33, 122, 40B, 40D"
44,51,Temple Street,53.35781939,-6.263271207,17,1,"41C, 13, 41, 44, 11, 16, 1, 40, 41A, 41B, 33, 122, 40B, 40D"
11,51,Temple Street,53.35781939,-6.263271207,18,1,"41C, 13, 41, 44, 11, 16, 1, 40, 41A, 41B, 33, 122, 40B, 40D"
1,51,Temple Street,53.35781939,-6.263271207,20,1,"41C, 13, 41, 44, 11, 16, 1, 40, 41A, 41B, 33, 122, 40B, 40D"
40,51,Temple Street,53.35781939,-6.263271207,32,1,"41C, 13, 41, 44, 11, 16, 1, 40, 41A, 41B, 33, 122, 40B, 40D"
41B,51,Temple Street,53.35781939,-6.263271207,44,1,"41C, 13, 41, 44, 11, 16, 1, 40, 41A, 41B, 33, 122, 40B, 40D"
40B,51,Temple Street,53.35781939,-6.263271207,38,1,"41C, 13, 41, 44, 11, 16, 1, 40, 41A, 41B, 33, 122, 40B, 40D"
40D,51,Temple Street,53.35781939,-6.263271207,42,1,"41C, 13, 41, 44, 11, 16, 1, 40, 41A, 41B, 33, 122, 40B, 40D"
41,52,St. Joseph's Parade,53.35664238,-6.264535983,51,1,"41C, 13, 41, 44, 11, 16, 1, 40, 41A, 41B, 33, 122, 40B, 40D"
44,52,St. Joseph's Parade,53.35664238,-6.264535983,18,1,"41C, 13, 41, 44, 11, 16, 1, 40, 41A, 41B, 33, 122, 40B, 40D"
11,52,St. Joseph's Parade,53.35664238,-6.264535983,19,1,"41C, 13, 41, 44, 11, 16, 1, 40, 41A, 41B, 33, 122, 40B, 40D"
1,52,St. Joseph's Parade,53.35664238,-6.264535983,21,1,"41C, 13, 41, 44, 11, 16, 1, 40, 41A, 41B, 33, 122, 40B, 40D"
40,52,St. Joseph's Parade,53.35664238,-6.264535983,33,1,"41C, 13, 41, 44, 11, 16, 1, 40, 41A, 41B, 33, 122, 40B, 40D"
41B,52,St. Joseph's Parade,53.35664238,-6.264535983,45,1,"41C, 13, 41, 44, 11, 16, 1, 40, 41A, 41B, 33, 122, 40B, 40D"
40B,52,St. Joseph's Parade,53.35664238,-6.264535983,39,1,"41C, 13, 41, 44, 11, 16, 1, 40, 41A, 41B, 33, 122, 40B, 40D"
40D,52,St. Joseph's Parade,53.35664238,-6.264535983,43,1,"41C, 13, 41, 44, 11, 16, 1, 40, 41A, 41B, 33, 122, 40B, 40D"
122,53,Dorset Street,53.35998798,-6.262822417,34,1,122
122,54,Mater Hospital,53.36014451,-6.265550569,35,1,122
122,55,Mater Hospital,53.36041139,-6.268454564,36,1,122
122,56,St. Peter's Road,53.36076081,-6.276448736,37,1,"122, 120"
38A,57,St. Peter's Road,53.36076298,-6.276598899,13,1,"38, 38A, 38B"
38B,57,St. Peter's Road,53.36076298,-6.276598899,13,1,"38, 38A, 38B"
38A,58,Charleville Road,53.36093705,-6.281189548,14,1,"38, 38A, 38B, 122, 120"
38B,58,Charleville Road,53.36093705,-6.281189548,14,1,"38, 38A, 38B, 122, 120"
122,58,Charleville Road,53.36093705,-6.281189548,38,1,"38, 38A, 38B, 122, 120"
38A,59,Annamoe Terrace,53.36107981,-6.284864955,15,1,"38, 38A, 38B, 122"
38B,59,Annamoe Terrace,53.36107981,-6.284864955,15,1,"38, 38A, 38B, 122"
122,59,Annamoe Terrace,53.36107981,-6.284864955,39,1,"38, 38A, 38B, 122"
38A,60,Dowth Avenue,53.36123258,-6.289246167,16,1,"38, 38A, 38B, 122"
38B,60,Dowth Avenue,53.36123258,-6.289246167,16,1,"38, 38A, 38B, 122"
122,60,Dowth Avenue,53.36123258,-6.289246167,40,1,"38, 38A, 38B, 122"
122,63,Carnlough Road,53.36679222,-6.29273509,43,1,122
122,64,Dunmanus Road,53.36707938,-6.295218122,44,1,122
122,65,Dingle Road,53.36724545,-6.298036616,45,1,122
122,66,Broombridge Road,53.36729467,-6.300859781,46,1,122
120,68,Ratoath Road,53.36906831,-6.304230572,5,1,120
120,69,Ventry Park,53.37138337,-6.303327054,7,1,120
120,75,Bannow Road,53.36653803,-6.29130266,12,1,120
38,77,Quarry Road,53.36130897,-6.289558636,41,1,"38, 38A, 38B, 122"
38,78,Dowth Avenue,53.36112995,-6.283976458,42,1,"38, 38A, 38B, 122"
38,79,Charleville Road,53.36101205,-6.280780851,43,1,"38, 38A, 38B, 122, 120"
120,79,Charleville Road,53.36101205,-6.280780851,17,1,"38, 38A, 38B, 122, 120"
38,80,St. Peter's Road,53.36085398,-6.276054324,44,1,"38, 38A, 38B, 122, 120"
120,80,St. Peter's Road,53.36085398,-6.276054324,18,1,"38, 38A, 38B, 122, 120"
38,82,Royal Canal Bank,53.36079055,-6.271669574,45,1,"38, 38A, 38B, 122, 120"
120,82,Royal Canal Bank,53.36079055,-6.271669574,19,1,"38, 38A, 38B, 122, 120"
13,85,Homefarm Road,53.37390318,-6.251855554,63,1,"41, 13, 41C, 44, 16, 1, 41B, 33"
41C,85,Homefarm Road,53.37390318,-6.251855554,12,1,"41, 13, 41C, 44, 16, 1, 41B, 33"
16,85,Homefarm Road,53.37390318,-6.251855554,52,1,"41, 13, 41C, 44, 16, 1, 41B, 33"
33,85,Homefarm Road,53.37390318,-6.251855554,12,1,"41, 13, 41C, 44, 16, 1, 41B, 33"
13,86,Garda Station,53.37605,-6.251151369,64,1,13
13,87,Clare Road,53.37675151,-6.254865268,65,1,13
13,88,Walnut Rise,53.37728682,-6.257669185,66,1,13
13,89,Lambay Road,53.37802668,-6.261562105,67,1,13
13,90,St. Pappin's Road,53.38638531,-6.265250648,72,1,"13, 9, 4"
13,91,Glasnevin Avenue,53.38842767,-6.265393116,73,1,"13, 9, 4"
13,92,Shanliss Road,53.38983712,-6.264659214,74,1,"13, 4, 17A"
17A,92,Shanliss Road,53.38983712,-6.264659214,28,1,"13, 4, 17A"
13,93,Shanliss Road,53.39229249,-6.264153341,75,1,"13, 4, 17A"
17A,93,Shanliss Road,53.39229249,-6.264153341,29,1,"13, 4, 17A"
13,94,Silloge Road,53.39603476,-6.26437696,76,1,"13, 4, 17A"
17A,94,Silloge Road,53.39603476,-6.26437696,30,1,"13, 4, 17A"
150,100,Wellington Cottages,53.30308267,-6.322361403,7,1,"150, 54A"
13,102,Silloge Road,53.39776387,-6.267705193,77,1,"13, 220"
13,104,Belclare Crescent,53.39969927,-6.276604703,79,1,"13, 220"
13,105,Poppintree Park Lane,53.40292828,-6.281753183,81,1,"13, 220"
220,107,Crannogue Road,53.40203541,-6.279668587,76,1,"13, 220"
220,110,Balcurris Gardens,53.39793973,-6.268675528,78,1,"13, 220"
4,112,Silloge Road,53.39614564,-6.263966435,7,1,"13, 4, 17A"
4,113,Nursing Home,53.39226774,-6.263688227,8,1,"13, 4, 17A"
4,114,Shanliss Road,53.39133332,-6.263711229,9,1,"13, 4, 17A"
9,115,Glasnevin Avenue,53.38793714,-6.265037196,16,1,"13, 9, 4"
4,115,Glasnevin Avenue,53.38793714,-6.265037196,10,1,"13, 9, 4"
41,119,Griffith Avenue,53.37508335,-6.250815227,42,1,"41C, 13, 41, 44, 16, 1, 41A, 41B, 33"
44,119,Griffith Avenue,53.37508335,-6.250815227,9,1,"41C, 13, 41, 44, 16, 1, 41A, 41B, 33"
1,119,Griffith Avenue,53.37508335,-6.250815227,12,1,"41C, 13, 41, 44, 16, 1, 41A, 41B, 33"
41B,119,Griffith Avenue,53.37508335,-6.250815227,36,1,"41C, 13, 41, 44, 16, 1, 41A, 41B, 33"
220,124,Londale Way,53.39491924,-6.260602937,79,1,220
17A,126,Nursing Home,53.39909547,-6.264086961,31,1,"4, 17A"
4,127,St. Pappin's Road,53.39910731,-6.263665399,6,1,"4, 17A"
83,133,Sycamore Road,53.39078773,-6.286286843,58,1,"83, 83A"
83A,133,Sycamore Road,53.39078773,-6.286286843,58,1,"83, 83A"
83,134,Willow Park Crescent,53.39309438,-6.286058838,59,1,"83, 83A"
83A,134,Willow Park Crescent,53.39309438,-6.286058838,59,1,"83, 83A"
9,136,Sycamore Road,53.3943802,-6.289856597,6,1,"9, 220"
9,137,Clancy Avenue,53.3923165,-6.292615767,7,1,"9, 220"
9,138,St. Canice's School,53.38992169,-6.292335743,9,1,"9, 83, 83A, 17A"
83,138,St. Canice's School,53.38992169,-6.292335743,57,1,"9, 83, 83A, 17A"
83A,138,St. Canice's School,53.38992169,-6.292335743,57,1,"9, 83, 83A, 17A"
17A,138,St. Canice's School,53.38992169,-6.292335743,22,1,"9, 83, 83A, 17A"
17A,139,Grove Park Road,53.39060125,-6.286444691,23,1,17A
17A,140,Beneavin Park,53.3906503,-6.282353055,24,1,17A
9,141,Willow Park Road,53.39044487,-6.278076218,13,1,"9, 17A"
17A,141,Willow Park Road,53.39044487,-6.278076218,25,1,"9, 17A"
9,142,Glasnevin Park,53.39019061,-6.274162245,14,1,"9, 17A"
17A,142,Glasnevin Park,53.39019061,-6.274162245,26,1,"9, 17A"
9,143,Willow Park Avenue,53.38986773,-6.269243734,15,1,"9, 17A"
17A,143,Willow Park Avenue,53.38986773,-6.269243734,27,1,"9, 17A"
9,146,Na Fianna,53.37516523,-6.26504541,21,1,"9, 4"
4,146,Na Fianna,53.37516523,-6.26504541,15,1,"9, 4"
9,147,Dean Swift Bridge,53.37248023,-6.265830862,22,1,"9, 4"
4,147,Dean Swift Bridge,53.37248023,-6.265830862,16,1,"9, 4"
83,151,Botanic Gardens,53.37195526,-6.269293828,44,1,"83, 83A"
83A,151,Botanic Gardens,53.37195526,-6.269293828,44,1,"83, 83A"
83,153,Met Office,53.37573255,-6.270072533,45,1,"83, 83A"
83A,153,Met Office,53.37573255,-6.270072533,45,1,"83, 83A"
83,154,St. Brigid's School,53.37725878,-6.275542015,46,1,"83, 83A"
83A,154,St. Brigid's School,53.37725878,-6.275542015,46,1,"83, 83A"
83,155,Cremore Lawn,53.37787403,-6.279560505,47,1,"83, 83A"
83A,155,Cremore Lawn,53.37787403,-6.279560505,47,1,"83, 83A"
83,156,Northland Grove,53.37862339,-6.281664739,48,1,"83, 83A"
83A,156,Northland Grove,53.37862339,-6.281664739,48,1,"83, 83A"
83A,157,Griffith Road,53.38041141,-6.281622802,49,1,83A
83A,158,Glasilawn Road,53.38134872,-6.283674539,50,1,83A
83A,159,Griffith Parade,53.3827835,-6.282820088,51,1,83A
9,167,Ballygall Road East,53.39018639,-6.286972559,10,1,9
9,168,Beneavin Park,53.38925077,-6.28440907,11,1,9
9,169,Ballygall Road East,53.38843372,-6.280096884,12,1,9
83,177,Griffith Avenue,53.38046816,-6.276209012,50,1,83
83,178,West Park Drive,53.38188106,-6.276332322,51,1,83
9,184,Cliftonville Road,53.36969448,-6.268964699,23,1,"9, 4, 83, 83A"
4,184,Cliftonville Road,53.36969448,-6.268964699,17,1,"9, 4, 83, 83A"
9,185,Marguerite Road,53.36809195,-6.270021503,24,1,"9, 4, 83, 83A"
4,185,Marguerite Road,53.36809195,-6.270021503,18,1,"9, 4, 83, 83A"
9,186,Prospect Avenue,53.36534614,-6.271575323,25,1,"9, 4, 40, 83, 83A, 140, 40B, 40D"
4,186,Prospect Avenue,53.36534614,-6.271575323,19,1,"9, 4, 40, 83, 83A, 140, 40B, 40D"
40,186,Prospect Avenue,53.36534614,-6.271575323,26,1,"9, 4, 40, 83, 83A, 140, 40B, 40D"
40B,186,Prospect Avenue,53.36534614,-6.271575323,31,1,"9, 4, 40, 83, 83A, 140, 40B, 40D"
40D,186,Prospect Avenue,53.36534614,-6.271575323,35,1,"9, 4, 40, 83, 83A, 140, 40B, 40D"
9,187,Royse Road,53.36272505,-6.272432712,26,1,"9, 4, 83, 83A, 140"
4,187,Royse Road,53.36272505,-6.272432712,20,1,"9, 4, 83, 83A, 140"
9,188,North Circular Road,53.3601117,-6.272583513,27,1,"9, 4, 83, 83A, 140"
4,188,North Circular Road,53.3601117,-6.272583513,21,1,"9, 4, 83, 83A, 140"
9,189,Broadstone,53.35716744,-6.273468816,28,1,"9, 4, 83, 83A, 140"
4,189,Broadstone,53.35716744,-6.273468816,22,1,"9, 4, 83, 83A, 140"
9,190,Broadstone Depot,53.35511675,-6.273371437,29,1,"9, 4, 140"
4,190,Broadstone Depot,53.35511675,-6.273371437,23,1,"9, 4, 140"
9,191,Youth Club,53.35506787,-6.269377287,30,1,"9, 4, 140"
4,191,Youth Club,53.35506787,-6.269377287,24,1,"9, 4, 140"
38A,192,Blessington Street,53.35644191,-6.268059634,10,1,"38, 38A, 38B, 46A, 120"
38B,192,Blessington Street,53.35644191,-6.268059634,10,1,"38, 38A, 38B, 46A, 120"
46A,192,Blessington Street,53.35644191,-6.268059634,50,1,"38, 38A, 38B, 46A, 120"
9,193,Clune Road,53.39118711,-6.294089367,8,1,"9, 220"
140,194,Youth Club,53.35504043,-6.269964297,20,1,"9, 4, 140"
83,195,Constitution Hill,53.35500171,-6.273496272,36,1,"9, 4, 83, 83A, 140"
83A,195,Constitution Hill,53.35500171,-6.273496272,36,1,"9, 4, 83, 83A, 140"
140,195,Constitution Hill,53.35500171,-6.273496272,21,1,"9, 4, 83, 83A, 140"
83,196,Broadstone,53.3568747,-6.273736052,37,1,"9, 4, 83, 83A, 140"
83A,196,Broadstone,53.3568747,-6.273736052,37,1,"9, 4, 83, 83A, 140"
140,196,Broadstone,53.3568747,-6.273736052,22,1,"9, 4, 83, 83A, 140"
83,197,Monck Place,53.35895263,-6.273231374,38,1,"9, 4, 83, 83A, 140"
83A,197,Monck Place,53.35895263,-6.273231374,38,1,"9, 4, 83, 83A, 140"
140,197,Monck Place,53.35895263,-6.273231374,23,1,"9, 4, 83, 83A, 140"
83,198,Royse Road,53.36162538,-6.27283781,39,1,"9, 4, 83, 83A, 140"
83A,198,Royse Road,53.36162538,-6.27283781,39,1,"9, 4, 83, 83A, 140"
140,198,Royse Road,53.36162538,-6.27283781,24,1,"9, 4, 83, 83A, 140"
83,199,Munster Street,53.36361283,-6.27229161,40,1,"9, 4, 83, 83A, 140"
83A,199,Munster Street,53.36361283,-6.27229161,40,1,"9, 4, 83, 83A, 140"
140,199,Munster Street,53.36361283,-6.27229161,25,1,"9, 4, 83, 83A, 140"
83,200,Prospect Avenue,53.36742269,-6.271596444,41,1,"9, 4, 83, 83A"
83A,200,Prospect Avenue,53.36742269,-6.271596444,41,1,"9, 4, 83, 83A"
83,201,Cliftonville Road,53.3682819,-6.270103972,42,1,"9, 4, 83, 83A"
83A,201,Cliftonville Road,53.3682819,-6.270103972,42,1,"9, 4, 83, 83A"
83,202,Fairfield Road,53.3700711,-6.268904342,43,1,"83, 83A"
83A,202,Fairfield Road,53.3700711,-6.268904342,43,1,"83, 83A"
41C,203,Griffith Avenue,53.37639169,-6.24993492,13,1,"41, 41C, 44, 16, 1, 41B, 33"
16,203,Griffith Avenue,53.37639169,-6.24993492,53,1,"41, 41C, 44, 16, 1, 41B, 33"
33,203,Griffith Avenue,53.37639169,-6.24993492,13,1,"41, 41C, 44, 16, 1, 41B, 33"
41C,204,Highfield Hospital,53.37958792,-6.246632147,14,1,"41, 41C, 44, 16, 1, 41B, 33"
16,204,Highfield Hospital,53.37958792,-6.246632147,54,1,"41, 41C, 44, 16, 1, 41B, 33"
33,204,Highfield Hospital,53.37958792,-6.246632147,14,1,"41, 41C, 44, 16, 1, 41B, 33"
41C,205,Grace Park Heights,53.38141148,-6.245339593,15,1,"41, 41C, 44, 16, 1, 41B, 33"
16,205,Grace Park Heights,53.38141148,-6.245339593,55,1,"41, 41C, 44, 16, 1, 41B, 33"
33,205,Grace Park Heights,53.38141148,-6.245339593,15,1,"41, 41C, 44, 16, 1, 41B, 33"
44,208,Glentow Road,53.38662654,-6.247921465,1,1,44
44,209,Glentow,53.38733333,-6.245862786,2,1,44
44,210,Crestfield Road,53.3875312,-6.24832031,3,1,44
44,211,St. Aidan's School,53.38426289,-6.249161068,4,1,44
44,212,Larkhill Road,53.38317767,-6.246259136,5,1,44
41,213,Grace Park Heights,53.38140485,-6.244888894,39,1,"41C, 41, 44, 16, 1, 41A, 41B, 33"
44,213,Grace Park Heights,53.38140485,-6.244888894,6,1,"41C, 41, 44, 16, 1, 41A, 41B, 33"
1,213,Grace Park Heights,53.38140485,-6.244888894,9,1,"41C, 41, 44, 16, 1, 41A, 41B, 33"
41B,213,Grace Park Heights,53.38140485,-6.244888894,33,1,"41C, 41, 44, 16, 1, 41A, 41B, 33"
41,214,Highfield Hospital,53.37930945,-6.246643589,40,1,"41C, 41, 44, 16, 1, 41A, 41B, 33"
44,214,Highfield Hospital,53.37930945,-6.246643589,7,1,"41C, 41, 44, 16, 1, 41A, 41B, 33"
1,214,Highfield Hospital,53.37930945,-6.246643589,10,1,"41C, 41, 44, 16, 1, 41A, 41B, 33"
41B,214,Highfield Hospital,53.37930945,-6.246643589,34,1,"41C, 41, 44, 16, 1, 41A, 41B, 33"
16,215,Grace Park Heights,53.38186308,-6.242434776,56,1,16
